Tree	Transformed_Tree	One	Two	Three	Pattern	Corpus
jo <obj vi <nsubj izkazali	['jo <obj', 'vi <nsubj', 'izkazali']	O	S	V	OSV	SST
jo <obj vlaga >nsubj poslancev	['jo <obj', 'vlaga', '>nsubj poslancev']	O	V	S	OVS	SST
jo <obj vodil >nsubj gospod	['jo <obj', 'vodil', '>nsubj gospod']	O	V	S	OVS	SST
ju <obj jaz <nsubj pokličem	['ju <obj', 'jaz <nsubj', 'pokličem']	O	S	V	OSV	SST
kaj <nsubj gledišča <obj tiče	['kaj <nsubj', 'gledišča <obj', 'tiče']	S	O	V	SOV	SST
kaj <nsubj jo <obj dela	['kaj <nsubj', 'jo <obj', 'dela']	S	O	V	SOV	SST
kaj <nsubj kapitala <obj tiče	['kaj <nsubj', 'kapitala <obj', 'tiče']	S	O	V	SOV	SST
kaj <nsubj te <obj čaka	['kaj <nsubj', 'te <obj', 'čaka']	S	O	V	SOV	SST
kaj <nsubj temu <obj reče	['kaj <nsubj', 'temu <obj', 'reče']	S	O	V	SOV	SST
kaj <nsubj ti <obj zdi	['kaj <nsubj', 'ti <obj', 'zdi']	S	O	V	SOV	SST
kaj <obj [name:personal] <nsubj rekel	['kaj <obj', '[name:personal] <nsubj', 'rekel']	O	S	V	OSV	SST
kaj <obj bo >nsubj metronom	['kaj <obj', 'bo', '>nsubj metronom']	O	V	S	OVS	SST
kaj <obj delate >nsubj izvajalci	['kaj <obj', 'delate', '>nsubj izvajalci']	O	V	S	OVS	SST
kaj <obj delate >nsubj vi	['kaj <obj', 'delate', '>nsubj vi']	O	V	S	OVS	SST
kaj <obj ima >nsubj Neža	['kaj <obj', 'ima', '>nsubj Neža']	O	V	S	OVS	SST
kaj <obj imata >nsubj skupini	['kaj <obj', 'imata', '>nsubj skupini']	O	V	S	OVS	SST
kaj <obj izraža >nsubj glagol	['kaj <obj', 'izraža', '>nsubj glagol']	O	V	S	OVS	SST
kaj <obj jaz <nsubj rečem	['kaj <obj', 'jaz <nsubj', 'rečem']	O	S	V	OSV	SST
kaj <obj midva <nsubj rekla	['kaj <obj', 'midva <nsubj', 'rekla']	O	S	V	OSV	SST
kaj <obj misliš >nsubj ti	['kaj <obj', 'misliš', '>nsubj ti']	O	V	S	OVS	SST
kaj <obj oni <nsubj delajo	['kaj <obj', 'oni <nsubj', 'delajo']	O	S	V	OSV	SST
kaj <obj pokazala >nsubj pomlad	['kaj <obj', 'pokazala', '>nsubj pomlad']	O	V	S	OVS	SST
kaj <obj pomeni >nsubj ta	['kaj <obj', 'pomeni', '>nsubj ta']	O	V	S	OVS	SST
kaj <obj pravi >nsubj Nina	['kaj <obj', 'pravi', '>nsubj Nina']	O	V	S	OVS	SST
kaj <obj pravite >nsubj vi	['kaj <obj', 'pravite', '>nsubj vi']	O	V	S	OVS	SST
kaj <obj prineslo >nsubj leto	['kaj <obj', 'prineslo', '>nsubj leto']	O	V	S	OVS	SST
kaj <obj pripravili >nsubj babe	['kaj <obj', 'pripravili', '>nsubj babe']	O	V	S	OVS	SST
kaj <obj puščice <nsubj pomenijo	['kaj <obj', 'puščice <nsubj', 'pomenijo']	O	S	V	OSV	SST
kaj <obj sama <nsubj pravi	['kaj <obj', 'sama <nsubj', 'pravi']	O	S	V	OSV	SST
kaj <obj sistem <nsubj prinesel	['kaj <obj', 'sistem <nsubj', 'prinesel']	O	S	V	OSV	SST
kaj <obj skupnost <nsubj naredi	['kaj <obj', 'skupnost <nsubj', 'naredi']	O	S	V	OSV	SST
kaj <obj vemo >nsubj mi	['kaj <obj', 'vemo', '>nsubj mi']	O	V	S	OVS	SST
kaj <obj vi <nsubj menite	['kaj <obj', 'vi <nsubj', 'menite']	O	S	V	OSV	SST
kar <nsubj družbo <obj zanima	['kar <nsubj', 'družbo <obj', 'zanima']	S	O	V	SOV	SST
kar <nsubj dvignilo >obj prahu	['kar <nsubj', 'dvignilo', '>obj prahu']	S	V	O	SVO	SST
kar <nsubj ga <obj žene	['kar <nsubj', 'ga <obj', 'žene']	S	O	V	SOV	SST
kar <nsubj interesa <obj tiče	['kar <nsubj', 'interesa <obj', 'tiče']	S	O	V	SOV	SST
kar <nsubj jim <obj koristilo	['kar <nsubj', 'jim <obj', 'koristilo']	S	O	V	SOV	SST
kar <nsubj meni <obj zdelo	['kar <nsubj', 'meni <obj', 'zdelo']	S	O	V	SOV	SST
kar <nsubj mi <obj godi	['kar <nsubj', 'mi <obj', 'godi']	S	O	V	SOV	SST
kar <nsubj mi <obj ni	['kar <nsubj', 'mi <obj', 'ni']	S	O	V	SOV	SST
kar <nsubj naju <obj povezuje	['kar <nsubj', 'naju <obj', 'povezuje']	S	O	V	SOV	SST
kar <nsubj nam <obj zdi	['kar <nsubj', 'nam <obj', 'zdi']	S	O	V	SOV	SST
kar <nsubj pomeni >obj procentov	['kar <nsubj', 'pomeni', '>obj procentov']	S	V	O	SVO	SST
kar <nsubj pomeni >obj številka	['kar <nsubj', 'pomeni', '>obj številka']	S	V	O	SVO	SST
kar <nsubj predstavlja >obj izziv	['kar <nsubj', 'predstavlja', '>obj izziv']	S	V	O	SVO	SST
kar <nsubj sledi >obj interesom	['kar <nsubj', 'sledi', '>obj interesom']	S	V	O	SVO	SST
kar <nsubj sledi >obj potrebam	['kar <nsubj', 'sledi', '>obj potrebam']	S	V	O	SVO	SST
kar <nsubj tiče >obj Mure	['kar <nsubj', 'tiče', '>obj Mure']	S	V	O	SVO	SST
kar <nsubj tiče >obj kina	['kar <nsubj', 'tiče', '>obj kina']	S	V	O	SVO	SST
kar <nsubj tiče >obj kolesarja	['kar <nsubj', 'tiče', '>obj kolesarja']	S	V	O	SVO	SST
kar <nsubj tiče >obj ljudi	['kar <nsubj', 'tiče', '>obj ljudi']	S	V	O	SVO	SST
kar <nsubj tiče >obj meda	['kar <nsubj', 'tiče', '>obj meda']	S	V	O	SVO	SST
kar <nsubj tiče >obj prehrane	['kar <nsubj', 'tiče', '>obj prehrane']	S	V	O	SVO	SST
kar <nsubj tiče >obj tega	['kar <nsubj', 'tiče', '>obj tega']	S	V	O	SVO	SST
kar <nsubj tiče >obj češenj	['kar <nsubj', 'tiče', '>obj češenj']	S	V	O	SVO	SST
kar <nsubj tiče >obj švicanja	['kar <nsubj', 'tiče', '>obj švicanja']	S	V	O	SVO	SST
kar <nsubj zadeva >obj imetnike	['kar <nsubj', 'zadeva', '>obj imetnike']	S	V	O	SVO	SST
kar <nsubj zadeva >obj zgodbe	['kar <nsubj', 'zadeva', '>obj zgodbe']	S	V	O	SVO	SST
kar <nsubj študentom <obj zdi	['kar <nsubj', 'študentom <obj', 'zdi']	S	O	V	SOV	SST
kar <obj direktiva <nsubj predvideva	['kar <obj', 'direktiva <nsubj', 'predvideva']	O	S	V	OSV	SST
kar <obj dobiš >nsubj ti	['kar <obj', 'dobiš', '>nsubj ti']	O	V	S	OVS	SST
kar <obj kaže >nsubj vrsta	['kar <obj', 'kaže', '>nsubj vrsta']	O	V	S	OVS	SST
kar <obj kdo <nsubj predstavlja	['kar <obj', 'kdo <nsubj', 'predstavlja']	O	S	V	OSV	SST
kar <obj kolega <nsubj povedal	['kar <obj', 'kolega <nsubj', 'povedal']	O	S	V	OSV	SST
kar <obj otrok <nsubj rabi	['kar <obj', 'otrok <nsubj', 'rabi']	O	S	V	OSV	SST
kar <obj predlagatelj <nsubj naslavlja	['kar <obj', 'predlagatelj <nsubj', 'naslavlja']	O	S	V	OSV	SST
kar <obj ugotavljajo >nsubj institucije	['kar <obj', 'ugotavljajo', '>nsubj institucije']	O	V	S	OVS	SST
kar <obj vsak <nsubj videl	['kar <obj', 'vsak <nsubj', 'videl']	O	S	V	OSV	SST
kar <obj zbrani <nsubj pospremili	['kar <obj', 'zbrani <nsubj', 'pospremili']	O	S	V	OSV	SST
kar <obj zdravnik <nsubj povedal	['kar <obj', 'zdravnik <nsubj', 'povedal']	O	S	V	OSV	SST
kar <obj zdravnik <nsubj predpisal	['kar <obj', 'zdravnik <nsubj', 'predpisal']	O	S	V	OSV	SST
kar <obj šola <nsubj razpiše	['kar <obj', 'šola <nsubj', 'razpiše']	O	S	V	OSV	SST
katero <obj zmaga >nsubj aliansa	['katero <obj', 'zmaga', '>nsubj aliansa']	O	V	S	OVS	SST
kdo <nsubj ga <obj imel	['kdo <nsubj', 'ga <obj', 'imel']	S	O	V	SOV	SST
kdo <nsubj imel >obj denar	['kdo <nsubj', 'imel', '>obj denar']	S	V	O	SVO	SST
kdo <nsubj je >obj to	['kdo <nsubj', 'je', '>obj to']	S	V	O	SVO	SST
kdo <nsubj knjige <obj sposodil	['kdo <nsubj', 'knjige <obj', 'sposodil']	S	O	V	SOV	SST
kdo <nsubj mi <obj kosi	['kdo <nsubj', 'mi <obj', 'kosi']	S	O	V	SOV	SST
kdo <nsubj mi <obj oral	['kdo <nsubj', 'mi <obj', 'oral']	S	O	V	SOV	SST
kdo <nsubj opeva >obj šolstvo	['kdo <nsubj', 'opeva', '>obj šolstvo']	S	V	O	SVO	SST
kdo <nsubj pobiral >obj hrošče	['kdo <nsubj', 'pobiral', '>obj hrošče']	S	V	O	SVO	SST
kdo <nsubj pripeljal >obj jo	['kdo <nsubj', 'pripeljal', '>obj jo']	S	V	O	SVO	SST
kdo <nsubj spomni >obj skupine	['kdo <nsubj', 'spomni', '>obj skupine']	S	V	O	SVO	SST
kdo <nsubj sprejemal >obj ljudi	['kdo <nsubj', 'sprejemal', '>obj ljudi']	S	V	O	SVO	SST
kdo <nsubj te <obj peljal	['kdo <nsubj', 'te <obj', 'peljal']	S	O	V	SOV	SST
kdo <nsubj vodi >obj to	['kdo <nsubj', 'vodi', '>obj to']	S	V	O	SVO	SST
kdor <nsubj reklamo <obj poslal	['kdor <nsubj', 'reklamo <obj', 'poslal']	S	O	V	SOV	SST
ker <obj jaz <nsubj naredim	['ker <obj', 'jaz <nsubj', 'naredim']	O	S	V	OSV	SST
kmetje <nsubj nimajo >obj sredstev	['kmetje <nsubj', 'nimajo', '>obj sredstev']	S	V	O	SVO	SST
kmetje <nsubj tega <obj nimajo	['kmetje <nsubj', 'tega <obj', 'nimajo']	S	O	V	SOV	SST
kmetu <obj zraste >nsubj krompir	['kmetu <obj', 'zraste', '>nsubj krompir']	O	V	S	OVS	SST
kolegica <nsubj to <obj zbrala	['kolegica <nsubj', 'to <obj', 'zbrala']	S	O	V	SOV	SST
komisija <nsubj kaj <obj spregleda	['komisija <nsubj', 'kaj <obj', 'spregleda']	S	O	V	SOV	SST
komisija <nsubj pravila <obj spreminjala	['komisija <nsubj', 'pravila <obj', 'spreminjala']	S	O	V	SOV	SST
korenine <nsubj posrkajo >obj vodo	['korenine <nsubj', 'posrkajo', '>obj vodo']	S	V	O	SVO	SST
korona <nsubj naredila >obj svoje	['korona <nsubj', 'naredila', '>obj svoje']	S	V	O	SVO	SST
korona <nsubj nas <obj postavila	['korona <nsubj', 'nas <obj', 'postavila']	S	O	V	SOV	SST
korona <nsubj prinesla >obj izkušnje	['korona <nsubj', 'prinesla', '>obj izkušnje']	S	V	O	SVO	SST
kralj <nsubj boji >obj nasledstva	['kralj <nsubj', 'boji', '>obj nasledstva']	S	V	O	SVO	SST
kriza <nsubj dala >obj poduk	['kriza <nsubj', 'dala', '>obj poduk']	S	V	O	SVO	SST
kvintet <nsubj glasbo <obj približal	['kvintet <nsubj', 'glasbo <obj', 'približal']	S	O	V	SOV	SST
lioni <nsubj delimo >obj poslanstvo	['lioni <nsubj', 'delimo', '>obj poslanstvo']	S	V	O	SVO	SST
ljudje <nsubj bruhajo >obj živo	['ljudje <nsubj', 'bruhajo', '>obj živo']	S	V	O	SVO	SST
ljudje <nsubj pijejo >obj pijačo	['ljudje <nsubj', 'pijejo', '>obj pijačo']	S	V	O	SVO	SST
ljudje <nsubj shranjujejo >obj navade	['ljudje <nsubj', 'shranjujejo', '>obj navade']	S	V	O	SVO	SST
ljudje <nsubj spominjajo >obj časov	['ljudje <nsubj', 'spominjajo', '>obj časov']	S	V	O	SVO	SST
ljudje <nsubj spomnili >obj mladosti	['ljudje <nsubj', 'spomnili', '>obj mladosti']	S	V	O	SVO	SST
ljudje <nsubj spreminjajo >obj karakter	['ljudje <nsubj', 'spreminjajo', '>obj karakter']	S	V	O	SVO	SST
mama <nsubj Tamiflu <obj dala	['mama <nsubj', 'Tamiflu <obj', 'dala']	S	O	V	SOV	SST
marsikdo <nsubj pozitivnost <obj prenaša	['marsikdo <nsubj', 'pozitivnost <obj', 'prenaša']	S	O	V	SOV	SST
marsikdo <nsubj vzame >obj kredit	['marsikdo <nsubj', 'vzame', '>obj kredit']	S	V	O	SVO	SST
marsikdo <nsubj zavida >obj Slovenijo	['marsikdo <nsubj', 'zavida', '>obj Slovenijo']	S	V	O	SVO	SST
mati <nsubj televizijo <obj gledata	['mati <nsubj', 'televizijo <obj', 'gledata']	S	O	V	SOV	SST
me <obj Radiotelevizija <nsubj poslala	['me <obj', 'Radiotelevizija <nsubj', 'poslala']	O	S	V	OSV	SST
me <obj ambasada <nsubj zaščiti	['me <obj', 'ambasada <nsubj', 'zaščiti']	O	S	V	OSV	SST
me <obj ona <nsubj odpeljala	['me <obj', 'ona <nsubj', 'odpeljala']	O	S	V	OSV	SST
me <obj ona <nsubj spoznala	['me <obj', 'ona <nsubj', 'spoznala']	O	S	V	OSV	SST
me <obj policija <nsubj odžene	['me <obj', 'policija <nsubj', 'odžene']	O	S	V	OSV	SST
me <obj pot <nsubj peljala	['me <obj', 'pot <nsubj', 'peljala']	O	S	V	OSV	SST
me <obj pot <nsubj vodila	['me <obj', 'pot <nsubj', 'vodila']	O	S	V	OSV	SST
me <obj sedemsto <nsubj žulilo	['me <obj', 'sedemsto <nsubj', 'žulilo']	O	S	V	OSV	SST
me <obj starši <nsubj zaznamovali	['me <obj', 'starši <nsubj', 'zaznamovali']	O	S	V	OSV	SST
me <obj zanima >nsubj ekonomija	['me <obj', 'zanima', '>nsubj ekonomija']	O	V	S	OVS	SST
medaljo <obj dobil >nsubj občan	['medaljo <obj', 'dobil', '>nsubj občan']	O	V	S	OVS	SST
mene <obj bilo >nsubj sram	['mene <obj', 'bilo', '>nsubj sram']	O	V	S	OVS	SST
mene <obj boli >nsubj oblikovanje	['mene <obj', 'boli', '>nsubj oblikovanje']	O	V	S	OVS	SST
meni <obj je >nsubj to	['meni <obj', 'je', '>nsubj to']	O	V	S	OVS	SST
meni <obj pletenki <nsubj sunile	['meni <obj', 'pletenki <nsubj', 'sunile']	O	S	V	OSV	SST
meni <obj so >nsubj stili	['meni <obj', 'so', '>nsubj stili']	O	V	S	OVS	SST
meni <obj to <nsubj prišlo	['meni <obj', 'to <nsubj', 'prišlo']	O	S	V	OSV	SST
meni <obj zdelo >nsubj poklic	['meni <obj', 'zdelo', '>nsubj poklic']	O	V	S	OVS	SST
mi <nsubj dali >obj ime	['mi <nsubj', 'dali', '>obj ime']	S	V	O	SVO	SST
mi <nsubj dobili >obj sadje	['mi <nsubj', 'dobili', '>obj sadje']	S	V	O	SVO	SST
mi <nsubj dobili >obj sporočilo	['mi <nsubj', 'dobili', '>obj sporočilo']	S	V	O	SVO	SST
mi <nsubj imamo >obj dejavnosti	['mi <nsubj', 'imamo', '>obj dejavnosti']	S	V	O	SVO	SST
mi <nsubj imamo >obj pravico	['mi <nsubj', 'imamo', '>obj pravico']	S	V	O	SVO	SST
mi <nsubj imamo >obj štiri	['mi <nsubj', 'imamo', '>obj štiri']	S	V	O	SVO	SST
mi <nsubj imeli >obj kulturo	['mi <nsubj', 'imeli', '>obj kulturo']	S	V	O	SVO	SST
mi <nsubj imeli >obj ugotovitev	['mi <nsubj', 'imeli', '>obj ugotovitev']	S	V	O	SVO	SST
mi <nsubj intenzivirali >obj obnavljanje	['mi <nsubj', 'intenzivirali', '>obj obnavljanje']	S	V	O	SVO	SST
mi <nsubj jih <obj imamo	['mi <nsubj', 'jih <obj', 'imamo']	S	O	V	SOV	SST
mi <nsubj kakšno <obj napisale	['mi <nsubj', 'kakšno <obj', 'napisale']	S	O	V	SOV	SST
mi <nsubj nič <obj naredili	['mi <nsubj', 'nič <obj', 'naredili']	S	O	V	SOV	SST
mi <nsubj obiskali >obj Malto	['mi <nsubj', 'obiskali', '>obj Malto']	S	V	O	SVO	SST
mi <nsubj ogrejemo >obj mišice	['mi <nsubj', 'ogrejemo', '>obj mišice']	S	V	O	SVO	SST
mi <nsubj podarimo >obj darila	['mi <nsubj', 'podarimo', '>obj darila']	S	V	O	SVO	SST
mi <nsubj pogoja <obj postavili	['mi <nsubj', 'pogoja <obj', 'postavili']	S	O	V	SOV	SST
mi <nsubj pogrešamo >obj smelost	['mi <nsubj', 'pogrešamo', '>obj smelost']	S	V	O	SVO	SST
mi <nsubj pogrešamo >obj to	['mi <nsubj', 'pogrešamo', '>obj to']	S	V	O	SVO	SST
mi <nsubj ponovili >obj tisto	['mi <nsubj', 'ponovili', '>obj tisto']	S	V	O	SVO	SST
mi <nsubj predlagamo >obj imena	['mi <nsubj', 'predlagamo', '>obj imena']	S	V	O	SVO	SST
mi <nsubj rotirali >obj število	['mi <nsubj', 'rotirali', '>obj število']	S	V	O	SVO	SST
mi <nsubj slišali >obj Utwo	['mi <nsubj', 'slišali', '>obj Utwo']	S	V	O	SVO	SST
mi <nsubj smo >obj procent	['mi <nsubj', 'smo', '>obj procent']	S	V	O	SVO	SST
mi <nsubj stališče <obj podali	['mi <nsubj', 'stališče <obj', 'podali']	S	O	V	SOV	SST
mi <nsubj ti <obj napravimo	['mi <nsubj', 'ti <obj', 'napravimo']	S	O	V	SOV	SST
mi <nsubj to <obj objavimo	['mi <nsubj', 'to <obj', 'objavimo']	S	O	V	SOV	SST
mi <nsubj to <obj želeli	['mi <nsubj', 'to <obj', 'želeli']	S	O	V	SOV	SST
mi <nsubj višino <obj določamo	['mi <nsubj', 'višino <obj', 'določamo']	S	O	V	SOV	SST
mi <nsubj čuvava >obj ovce	['mi <nsubj', 'čuvava', '>obj ovce']	S	V	O	SVO	SST
mi <obj bil >nsubj obisk	['mi <obj', 'bil', '>nsubj obisk']	O	V	S	OVS	SST
mi <obj bila >nsubj glasba	['mi <obj', 'bila', '>nsubj glasba']	O	V	S	OVS	SST
mi <obj bila >nsubj knjiga	['mi <obj', 'bila', '>nsubj knjiga']	O	V	S	OVS	SST
mi <obj bila >nsubj nadaljevanka	['mi <obj', 'bila', '>nsubj nadaljevanka']	O	V	S	OVS	SST
mi <obj bili >nsubj ljudje	['mi <obj', 'bili', '>nsubj ljudje']	O	V	S	OVS	SST
mi <obj bilo >nsubj mesto	['mi <obj', 'bilo', '>nsubj mesto']	O	V	S	OVS	SST
mi <obj brodica <nsubj odpirala	['mi <obj', 'brodica <nsubj', 'odpirala']	O	S	V	OSV	SST
mi <obj diši >nsubj novinarstvo	['mi <obj', 'diši', '>nsubj novinarstvo']	O	V	S	OVS	SST
mi <obj je >nsubj Dalmacija	['mi <obj', 'je', '>nsubj Dalmacija']	O	V	S	OVS	SST
mi <obj je >nsubj delo	['mi <obj', 'je', '>nsubj delo']	O	V	S	OVS	SST
mi <obj je >nsubj glasba	['mi <obj', 'je', '>nsubj glasba']	O	V	S	OVS	SST
mi <obj je >nsubj kmet	['mi <obj', 'je', '>nsubj kmet']	O	V	S	OVS	SST
mi <obj je >nsubj kuhinja	['mi <obj', 'je', '>nsubj kuhinja']	O	V	S	OVS	SST
mi <obj je >nsubj lokacija	['mi <obj', 'je', '>nsubj lokacija']	O	V	S	OVS	SST
mi <obj je >nsubj predmeta	['mi <obj', 'je', '>nsubj predmeta']	O	V	S	OVS	SST
mi <obj je >nsubj predolgčas	['mi <obj', 'je', '>nsubj predolgčas']	O	V	S	OVS	SST
mi <obj komisija <nsubj spreminjala	['mi <obj', 'komisija <nsubj', 'spreminjala']	O	S	V	OSV	SST
mi <obj ljudi <nsubj čestita	['mi <obj', 'ljudi <nsubj', 'čestita']	O	S	V	OSV	SST
mi <obj manjka >nsubj nekaj	['mi <obj', 'manjka', '>nsubj nekaj']	O	V	S	OVS	SST
mi <obj medijska <nsubj odpeljalo	['mi <obj', 'medijska <nsubj', 'odpeljalo']	O	S	V	OSV	SST
mi <obj nič <nsubj da	['mi <obj', 'nič <nsubj', 'da']	O	S	V	OSV	SST
mi <obj paše >nsubj balboa	['mi <obj', 'paše', '>nsubj balboa']	O	V	S	OVS	SST
mi <obj prikrila >nsubj starša	['mi <obj', 'prikrila', '>nsubj starša']	O	V	S	OVS	SST
mi <obj prišel >nsubj oni	['mi <obj', 'prišel', '>nsubj oni']	O	V	S	OVS	SST
mi <obj svet <nsubj podrl	['mi <obj', 'svet <nsubj', 'podrl']	O	S	V	OSV	SST
mi <obj zdi >nsubj folk	['mi <obj', 'zdi', '>nsubj folk']	O	V	S	OVS	SST
mi <obj zdi >nsubj pot	['mi <obj', 'zdi', '>nsubj pot']	O	V	S	OVS	SST
mi <obj študij <nsubj bil	['mi <obj', 'študij <nsubj', 'bil']	O	S	V	OSV	SST
midva <nsubj izmeno <obj razdeliva	['midva <nsubj', 'izmeno <obj', 'razdeliva']	S	O	V	SOV	SST
ministrstvo <nsubj problema <obj naslovilo	['ministrstvo <nsubj', 'problema <obj', 'naslovilo']	S	O	V	SOV	SST
mladi <nsubj gledajo >obj govornika	['mladi <nsubj', 'gledajo', '>obj govornika']	S	V	O	SVO	SST
modul <nsubj ima >obj vsebine	['modul <nsubj', 'ima', '>obj vsebine']	S	V	O	SVO	SST
motor <nsubj ima >obj izkoristek	['motor <nsubj', 'ima', '>obj izkoristek']	S	V	O	SVO	SST
motor <nsubj ima >obj izkoristke	['motor <nsubj', 'ima', '>obj izkoristke']	S	V	O	SVO	SST
moški <nsubj ga <obj imajo	['moški <nsubj', 'ga <obj', 'imajo']	S	O	V	SOV	SST
moški <nsubj imajo >obj naramnice	['moški <nsubj', 'imajo', '>obj naramnice']	S	V	O	SVO	SST
možje <nsubj to <obj naredijo	['možje <nsubj', 'to <obj', 'naredijo']	S	O	V	SOV	SST
mu <obj mnogi <nsubj pravijo	['mu <obj', 'mnogi <nsubj', 'pravijo']	O	S	V	OSV	SST
mu <obj to <nsubj odšteje	['mu <obj', 'to <nsubj', 'odšteje']	O	S	V	OSV	SST
na <obj prod <nsubj opozarja	['na <obj', 'prod <nsubj', 'opozarja']	O	S	V	OSV	SST
nadgradil >nsubj jaz >obj kolumne	['nadgradil', '>nsubj jaz', '>obj kolumne']	V	S	O	VSO	SST
najdejo >nsubj bolniki >obj odgovorov	['najdejo', '>nsubj bolniki', '>obj odgovorov']	V	S	O	VSO	SST
nam <obj pomagajo >nsubj odrasli	['nam <obj', 'pomagajo', '>nsubj odrasli']	O	V	S	OVS	SST
nam <obj ponavlja >nsubj scenarij	['nam <obj', 'ponavlja', '>nsubj scenarij']	O	V	S	OVS	SST
nam <obj preostane >nsubj to	['nam <obj', 'preostane', '>nsubj to']	O	V	S	OVS	SST
nam <obj prihajajo >nsubj prostovoljci	['nam <obj', 'prihajajo', '>nsubj prostovoljci']	O	V	S	OVS	SST
nam <obj prišli >nsubj sestri	['nam <obj', 'prišli', '>nsubj sestri']	O	V	S	OVS	SST
nam <obj strokovnjaki <nsubj stojijo	['nam <obj', 'strokovnjaki <nsubj', 'stojijo']	O	S	V	OSV	SST
nam <obj to <nsubj igra	['nam <obj', 'to <nsubj', 'igra']	O	S	V	OSV	SST
nama <obj bila >nsubj Sicilija	['nama <obj', 'bila', '>nsubj Sicilija']	O	V	S	OVS	SST
nama <obj ušlo >nsubj tole	['nama <obj', 'ušlo', '>nsubj tole']	O	V	S	OVS	SST
napadalec <nsubj imel >obj priložnost	['napadalec <nsubj', 'imel', '>obj priložnost']	S	V	O	SVO	SST
nas <obj povezale >nsubj vezi	['nas <obj', 'povezale', '>nsubj vezi']	O	V	S	OVS	SST
nas <obj preplavile >nsubj prijave	['nas <obj', 'preplavile', '>nsubj prijave']	O	V	S	OVS	SST
nas <obj to <nsubj jezi	['nas <obj', 'to <nsubj', 'jezi']	O	S	V	OSV	SST
nas <obj čaka >nsubj dela	['nas <obj', 'čaka', '>nsubj dela']	O	V	S	OVS	SST
nas <obj čaka >nsubj korakov	['nas <obj', 'čaka', '>nsubj korakov']	O	V	S	OVS	SST
naselja <obj občine <nsubj tolerirale	['naselja <obj', 'občine <nsubj', 'tolerirale']	O	S	V	OSV	SST
nastopajočih <nsubj oživlja >obj predstavo	['nastopajočih <nsubj', 'oživlja', '>obj predstavo']	S	V	O	SVO	SST
navade <nsubj otrokom <obj spremenile	['navade <nsubj', 'otrokom <obj', 'spremenile']	S	O	V	SOV	SST
navade <nsubj otrokom <obj ustrezajo	['navade <nsubj', 'otrokom <obj', 'ustrezajo']	S	O	V	SOV	SST
navdušila >obj me >nsubj sodelavka	['navdušila', '>obj me', '>nsubj sodelavka']	V	O	S	VOS	SST
načrte <obj prekinil >nsubj napad	['načrte <obj', 'prekinil', '>nsubj napad']	O	V	S	OVS	SST
načrte <obj prekrižala >nsubj korona	['načrte <obj', 'prekrižala', '>nsubj korona']	O	V	S	OVS	SST
ne <obj pravi >nsubj poslušalka	['ne <obj', 'pravi', '>nsubj poslušalka']	O	V	S	OVS	SST
ne <obj pravijo >nsubj Koper	['ne <obj', 'pravijo', '>nsubj Koper']	O	V	S	OVS	SST
nekaj <obj bi >nsubj jaz	['nekaj <obj', 'bi', '>nsubj jaz']	O	V	S	OVS	SST
nekaj <obj država <nsubj dala	['nekaj <obj', 'država <nsubj', 'dala']	O	S	V	OSV	SST
nekatere <nsubj ga <obj uvedle	['nekatere <nsubj', 'ga <obj', 'uvedle']	S	O	V	SOV	SST
nekateri <nsubj izbrali >obj življenje	['nekateri <nsubj', 'izbrali', '>obj življenje']	S	V	O	SVO	SST
nekateri <nsubj mi <obj pišejo	['nekateri <nsubj', 'mi <obj', 'pišejo']	S	O	V	SOV	SST
nekateri <nsubj palačinke <obj nadenejo	['nekateri <nsubj', 'palačinke <obj', 'nadenejo']	S	O	V	SOV	SST
nekateri <nsubj uporabljajo >obj oblačila	['nekateri <nsubj', 'uporabljajo', '>obj oblačila']	S	V	O	SVO	SST
nekdo <nsubj mi <obj kosi	['nekdo <nsubj', 'mi <obj', 'kosi']	S	O	V	SOV	SST
nekdo <nsubj povedal >obj kroženje	['nekdo <nsubj', 'povedal', '>obj kroženje']	S	V	O	SVO	SST
nima >nsubj on >obj službe	['nima', '>nsubj on', '>obj službe']	V	S	O	VSO	SST
nimam >obj živcev >nsubj jaz	['nimam', '>obj živcev', '>nsubj jaz']	V	O	S	VOS	SST
njemu <obj to <nsubj uspelo	['njemu <obj', 'to <nsubj', 'uspelo']	O	S	V	OSV	SST
njihov <nsubj nič <obj znal	['njihov <nsubj', 'nič <obj', 'znal']	S	O	V	SOV	SST
noben <nsubj ni >obj nič	['noben <nsubj', 'ni', '>obj nič']	S	V	O	SVO	SST
nogomet <nsubj doživljal >obj pretrese	['nogomet <nsubj', 'doživljal', '>obj pretrese']	S	V	O	SVO	SST
obeta >obj nam >nsubj lepega	['obeta', '>obj nam', '>nsubj lepega']	V	O	S	VOS	SST
obleko <obj jaz <nsubj imela	['obleko <obj', 'jaz <nsubj', 'imela']	O	S	V	OSV	SST
obliži <nsubj spodbudijo >obj željo	['obliži <nsubj', 'spodbudijo', '>obj željo']	S	V	O	SVO	SST
območje <obj mi <nsubj slišimo	['območje <obj', 'mi <nsubj', 'slišimo']	O	S	V	OSV	SST
oddelka <nsubj zmogla >obj tega	['oddelka <nsubj', 'zmogla', '>obj tega']	S	V	O	SVO	SST
okoliščine <nsubj spremenile >obj načrt	['okoliščine <nsubj', 'spremenile', '>obj načrt']	S	V	O	SVO	SST
